SampleKey,Excellent,Good,Marginal,Unsuitable,Most_Probable_Class,Confidence_Pct
KAY1_01,0.0,0.0,100.0,0.0,Marginal,100.0
NYI4_02,0.0,0.0,100.0,0.0,Marginal,100.0
SUS3_03,0.0,0.0,100.0,0.0,Marginal,100.0
GBG8_04,0.0,0.0,100.0,0.0,Marginal,100.0
TOT1_05,0.0,0.0,0.0,100.0,Unsuitable,100.0
NAN1_06,0.0,0.0,100.0,0.0,Marginal,100.0
NAN4_07,0.0,0.0,100.0,0.0,Marginal,100.0
MAM7_08,0.0,0.0,100.0,0.0,Marginal,100.0
BIB4_09,0.0,0.0,100.0,0.0,Marginal,100.0
MAM7_10,0.0,0.0,0.0,100.0,Unsuitable,100.0
ZAZ165_11,100.0,0.0,0.0,0.0,Excellent,100.0
TAT170_12,100.0,0.0,0.0,0.0,Excellent,100.0
BAF195_13,100.0,0.0,0.0,0.0,Excellent,100.0
NYG170_14,100.0,0.0,0.0,0.0,Excellent,100.0
LAL85_15,100.0,0.0,0.0,0.0,Excellent,100.0
TUT4_16,0.0,0.0,100.0,0.0,Marginal,100.0
NYC5_17,0.0,0.0,100.0,0.0,Marginal,100.0
SUJ7_18,0.0,0.0,100.0,0.0,Marginal,100.0
ISJ2_19,0.0,0.0,100.0,0.0,Marginal,100.0
DAN4_20,0.0,0.0,100.0,0.0,Marginal,100.0
KPK6_21,0.0,89.83333333333333,10.166666666666666,0.0,Good,89.83333333333333
BIB9_22,0.0,0.0,100.0,0.0,Marginal,100.0
KAP2_23,0.0,100.0,0.0,0.0,Good,100.0
GBG2_24,0.0,0.0,100.0,0.0,Marginal,100.0
NAN6_25,0.0,0.0,100.0,0.0,Marginal,100.0
GAG7_26,0.0,0.0,100.0,0.0,Marginal,100.0
TUT9_27,0.0,0.0,100.0,0.0,Marginal,100.0
NYG8_28,0.0,0.0,100.0,0.0,Marginal,100.0
NYG9_29,0.0,89.16666666666667,10.833333333333334,0.0,Good,89.16666666666667
ZOZ1_30,0.0,0.0,100.0,0.0,Marginal,100.0
NYY1_31,0.0,0.0,0.0,100.0,Unsuitable,100.0
KUK9_32,0.0,0.0,100.0,0.0,Marginal,100.0
NYN97_33,0.0,0.0,100.0,0.0,Marginal,100.0
SUG03_34,0.0,0.0,100.0,0.0,Marginal,100.0
