SampleID,CBE_pct,Abs_CBE_pct
KPK6,-30.570493193537352,30.570493193537352
ZAZ165,-28.01115999493595,28.01115999493595
NYG170,-27.540985296169428,27.540985296169428
TAT170,-26.207594031740093,26.207594031740093
BAF195,-22.993524799795555,22.993524799795555
LAL85,-22.45039515616029,22.45039515616029
BIB9,-21.343695492555963,21.343695492555963
NAN6,-20.136761910386056,20.136761910386056
TUT4,-8.327387973059666,8.327387973059666
SUJ7,-7.8010501906114404,7.8010501906114404
KAP2,-6.326504596003317,6.326504596003317
KUK9,-5.175993057639818,5.175993057639818
NYC5,-4.954640037932125,4.954640037932125
NYY1,-3.7072973521834562,3.7072973521834562
KAY1,-3.090353179924646,3.090353179924646
NYN97,-2.858520411028751,2.858520411028751
ISJ2,-2.7237703513026497,2.7237703513026497
NAN1,2.0633954656747653,2.0633954656747653
DAN4,-1.9250904973303156,1.9250904973303156
SUS3,-1.8122395181355717,1.8122395181355717
SUG03,1.7799078904141983,1.7799078904141983
ZOZ1,-1.4988968648572496,1.4988968648572496
NYG8,-1.4043329072327935,1.4043329072327935
GBG8,1.140081328390217,1.140081328390217
BIB4,-1.0975550222626902,1.0975550222626902
GAG7,1.037111230725555,1.037111230725555
GBG2,0.8691902539610604,0.8691902539610604
NYG9,-0.8188015368170124,0.8188015368170124
NAN4,-0.6514014534681614,0.6514014534681614
MAM7,-0.40243546747939335,0.40243546747939335
MAM7,-0.29967451354073654,0.29967451354073654
TUT9,0.2614680851949756,0.2614680851949756
NYI4,-0.03303740291365391,0.03303740291365391
TOT1,0.01317542871039452,0.01317542871039452
