Parameter,count,mean,std,min,Q1,Median,Q3,max
pH,34.0,7.566764705882353,0.5469237417800018,6.0,7.3175,7.73,7.9399999999999995,8.33
EC,34.0,1061.9132352941178,1632.0286345020638,66.6,678.0,744.5,827.0,9890.0
TDS,34.0,618.0861764705883,829.1039129230614,46.62,369.5,427.0,552.25,4950.0
Na,34.0,183.55,368.22412004351133,1.19,50.075,111.55,163.95,2144.0
K,34.0,25.27058823529412,57.45226540044781,0.6,1.4,2.0,3.975,195.0
Mg,34.0,4.192382352941176,8.145140265230868,0.001,1.1,1.52,5.125,46.8
Ca,34.0,7.9830000000000005,22.5178969737676,0.001,0.6,1.45,2.85,125.6
Cl,34.0,168.0805882352941,619.53393235972,0.26,5.34,16.335,36.3075,3520.0
SO4,34.0,4.689470588235294,5.401163826521736,0.001,0.42500000000000004,4.05,7.575,26.7
HCO3,34.0,310.3794117647059,143.47192477848583,19.7,229.025,316.55,426.725,520.0
NO3,34.0,7.840323529411764,12.267226032340014,0.001,0.9075,2.9595000000000002,10.4,55.0
F,34.0,1.3434117647058825,1.3063798027175355,0.07,0.805,1.025,1.33,6.04
Charge_Balance_Error_pct,34.0,-7.264684191939205,10.370052820118326,-30.570493193537352,-8.19580352744761,-2.324430424316483,-0.3253647520254007,2.0633954656747653
