Parameter,Guideline,Exceedance_Count,Exceedance_Percent,Mean,Max
pH,6.5-8.5,2,5.88235294117647,7.566764705882353,8.33
EC,<=1500,3,8.823529411764707,1061.9132352941178,9890.0
TDS,<=1000,3,8.823529411764707,618.0861764705883,4950.0
Na,<=200,6,17.647058823529413,183.55,2144.0
K,<=12,6,17.647058823529413,25.27058823529412,195.0
Mg,<=50,0,0.0,4.192382352941176,46.8
Ca,<=75,1,2.941176470588235,7.9830000000000005,125.6
Cl,<=250,3,8.823529411764707,168.0805882352941,3520.0
SO4,<=250,0,0.0,4.689470588235294,26.7
HCO3,<=300,19,55.88235294117647,310.3794117647059,520.0
NO3,<=50,1,2.941176470588235,7.840323529411764,55.0
F,<=1.5,6,17.647058823529413,1.3434117647058825,6.04
