SampleID,Silicate_Index,Carbonate_Index,Na_Cl_Ratio,CAI_1,CAI_2,Exchange_X,Exchange_Y,Gibbs_Dominance,TDS_Calculated
KAY1,0.9585537382311902,0.04146981463821211,21.268617539859914,-20.554084044931592,-0.9108886650214284,3.8135875596859132,-4.058669667758473,Rock-Weathering,363.83
NYI4,0.9809095929639675,0.02233205948478008,7.400950264566638,-6.42814920162582,-0.9792847596786074,8.426864565509872,-8.419270201468176,Rock-Weathering,801.6900000000002
SUS3,0.9714296997560752,0.030819454726604016,10.082498506823212,-9.153206652779065,-0.9411362838610087,4.270952048201494,-4.419927004765176,Rock-Weathering,409.08
GBG8,0.9833870632032357,0.018869242745314797,14.011768987993284,-13.083760729961702,-1.013660055488721,8.32092533026256,-8.082866846127528,Rock-Weathering,735.4100000000002
TOT1,0.9921012211854403,0.36901203119664444,1.0722503994178179,-0.07369648553373502,-1.1517885352209707,1.2778843564166955,-0.5708386239047764,Evaporation,1138.3400000000001
NAN1,0.9815773451464217,0.021705585376183823,9.807940341663574,-8.837864301884036,-1.0327798703228046,8.281203147747442,-7.8549089121135305,Rock-Weathering,740.7300000000001
NAN4,0.9761254981626187,0.02688244265492142,9.481959600634958,-8.529555190906876,-0.9656155122892264,6.381209098700545,-6.455169375217544,Rock-Weathering,599.79
MAM7,0.9689946805922904,0.03527169822713877,8.018268812527188,-7.069648252225723,-0.962867481054151,5.939296597343176,-5.980957065912659,Rock-Weathering,571.23
BIB4,0.9748008635245445,0.026237087425235887,18.971032449282397,-18.06625933544534,-0.958398957578181,6.757513753143423,-6.886093044655614,Rock-Weathering,615.16
MAM7,0.9362653824337893,6.806275055578519,0.9392028154533594,0.059328955237073426,5.930992070137826,-6.036843148213677,5.381639535419355,Evaporation,5857.869999999999
ZAZ165,0.9347456995178012,0.0386208732169874,7.1168066383377395,-581.5200340314369,-0.528665653790946,0.044862333595706974,-7.586710886871023,Rock-Weathering,661.68
TAT170,0.9424799890335932,0.03532530984355401,2.006225240520657,-166.74635330031197,-0.5591943168498542,0.026397446366268285,-7.4238755622075265,Rock-Weathering,654.5200000000001
BAF195,0.9576759098264869,0.028315624753834517,2.158764680295781,-209.16549287159793,-0.6111241279201534,0.027784202489461604,-7.6424643053185815,Rock-Weathering,704.5109999999999
NYG170,0.9569910226892249,0.025700185431992165,5.286770645622322,-444.68196806163934,-0.5602790254245379,0.04232354657172954,-7.603131369259708,Rock-Weathering,655.63
LAL85,0.8481794968664577,0.10421731921103518,1.6231313385682566,-68.22765725769368,-0.5411645953087528,0.020038638250149857,-3.4542516911187326,Rock-Weathering,340.64
TUT4,0.9181104057083065,0.07255394247907039,69.01145831115385,-69.27956459741962,-0.7795223735165474,5.486961093650211,-6.649880771419488,Rock-Weathering,577.35
NYC5,0.8997129225727755,0.09664701192712719,26.717384657126004,-26.390673762086422,-0.8133877109616341,4.396258138848619,-5.011557538120219,Rock-Weathering,459.32000000000005
SUJ7,0.8695192081231878,0.11754779038446866,19.50341462247791,-18.857695257157516,-0.7407043225771841,3.606730466609939,-4.368812938779639,Rock-Weathering,408.81
ISJ2,0.9604296777554288,0.04954293168254994,5.322398126961985,-4.3796254875729534,-0.8988235931193087,6.181821862820102,-6.637232695145086,Rock-Weathering,652.6500000000001
DAN4,0.9863049889513985,0.015978733002232303,9.579347696382037,-8.691681713422042,-0.9572440237772121,2.7347427071683224,-2.835275165415795,Rock-Weathering,258.40000000000003
KPK6,0.9639674890851618,0.025628927317861146,7.631996344480035,-6.906752706504288,-0.4832102800072173,0.37041897777349697,-0.7108672133762516,Rock-Weathering,60.421
BIB9,0.9996554460332289,0.0004094275341857356,5.300538277511962,-5.069610772999491,-0.6101678373702297,0.2717406415127446,-0.4539019631757952,Precipitation,42.312
KAP2,0.6150894479584501,0.6584014672360311,1.988444678709825,-1.0370610859312748,-0.37751099262797994,1.0400278283745126,-0.8395546928733892,Rock-Weathering,285.241
GBG2,0.9803158838286647,0.021540025205995156,18.83925653640804,-18.027172804735507,-0.9987045337212942,4.856102272957336,-4.8096046377613275,Rock-Weathering,429.87600000000003
NAN6,0.7503974518286333,0.18707599586025117,5.533699785320406,-4.628756623472346,-0.45453081660159234,3.1716715000266875,-5.7541014261786865,Rock-Weathering,569.8690000000001
GAG7,0.3179616607086155,1.097571310254497,1.0135045447398032,-0.042237868514874745,-0.019362275913791506,0.03245662092612811,0.29859947051363633,Rock-Weathering,540.2700000000001
TUT9,0.9527167706406122,0.054207220227843106,11.572598538670745,-10.659604719978423,-0.9622866676651363,5.905146715534013,-5.65582325010001,Rock-Weathering,553.2299999999999
NYG8,0.986247561873452,0.014615082228209206,14.128343845150066,-13.23034714455157,-0.9591964622247583,5.925345600067731,-6.0487512635495975,Rock-Weathering,546.1999999999999
NYG9,0.15610253896266227,0.8970627972573855,1.3303311755324143,-2.8015222198564316,-0.11848237497993072,0.047522961783224626,-0.35800457071760183,Rock-Weathering,282.29999999999995
ZOZ1,0.8815871604526926,0.12524567680968993,20.698743699306608,-19.816080828029904,-0.8603677742704423,4.723253073176478,-4.684374577526047,Rock-Weathering,471.96000000000004
NYY1,0.9640798284747314,0.27129181005046166,1.0678904258319986,-0.07101696374468827,-0.3766380624232402,1.721678217855196,-2.8826853322744137,Evaporation,1838.5100000000002
KUK9,0.8753858895303044,0.13160229476962226,7.279900123799646,-6.449905622802153,-0.7729604596540718,3.684680467560864,-4.10603789713596,Rock-Weathering,431.76099999999997
NYN97,0.9720596449205584,0.033817231182945016,4.96736158578264,-3.9883019456597744,-0.9086484777960685,4.700400186258698,-5.03037213934397,Rock-Weathering,496.481
SUG03,0.9985026477948762,0.003148840791344624,2.1404700643610712,-1.1483844446536173,-1.0919487932065375,3.796205009720914,-3.4028519159463015,Rock-Weathering,498.12
