SampleID,SampleKey,Ca,Mg,Na,K,Cl,HCO3,SO4,NO3,F,Water_Type
KAY1,KAY1_01,0.08483457258346223,0.09051635465953509,4.001739886907352,0.0537111872730063,0.18815232722143863,4.228399108430576,0.005621486570893192,0.011612154054577124,0.06684914201494895,Na-HCO3
NYI4,NYI4_02,0.09980537950995558,0.09051635465953509,9.743366681165725,0.0358074581820042,1.3165021156558532,8.522354792185658,0.08723714345200917,0.03209470356751177,0.017896620696915465,Na-HCO3
SUS3,SUS3_03,0.04990268975497779,0.09051635465953509,4.741191822531536,0.03324978259757533,0.4702397743300423,4.556181985053101,0.00416406412658755,0.013063673311399265,0.05263711969681019,Na-HCO3
GBG8,GBG8_04,0.0698637656569689,0.0822875951450319,8.960417572857764,0.04603816051971968,0.6394922425952045,8.063458764914122,0.17155944201540704,0.01919231017353719,0.058427202863459315,Na-HCO3
TOT1,TOT1_05,0.13473726233844005,0.01645751902900638,18.964767290126144,0.02557675584428871,17.686882933709448,0.40972859577815657,0.3123048094940662,0.40965099025869295,0.31792820296873353,Na-Cl
NAN1,NAN1_06,0.07485403463246668,0.09874511417403826,9.221400608960419,0.028134431428717584,0.9401974612129759,7.997902189589617,0.030605871330418487,0.01709567124701632,0.056321718075586905,Na-HCO3
NAN4,NAN4_07,0.08483457258346223,0.09051635465953509,7.133536320139191,0.0358074581820042,0.7523272214386459,6.522879244788252,0.10764105767228815,0.014999032320495452,0.043162438151384354,Na-HCO3
MAM7,MAM7_08,0.11976645541194669,0.09874511417403826,6.785558938668987,0.04348048493529081,0.8462623413258109,6.195096368165728,0.004372267332916927,0.014031352815947357,0.04474155174228866,Na-HCO3
BIB4,BIB4_09,0.09481511053445779,0.09051635465953509,7.133536320139191,0.0358074581820042,0.37602256699576864,7.06372099121542,0.007703518634186966,0.016773111412166957,0.053689862090746394,Na-HCO3
MAM7,MAM7_10,6.26777783322521,0.09051635465953509,93.2579382340148,0.14578750831244566,99.29478138222848,0.934181198374197,0.042473454091193005,0.016611831494742275,0.07369196757553426,Na-Cl
ZAZ165,ZAZ165_11,0.03493188282848445,0.2633203044641021,0.05219660722053067,4.2201647143076375,0.007334273624823695,7.722564573226695,0.16239850093691444,0.18256886652474033,0.05263711969681019,K-HCO3
TAT170,TAT170_12,0.029941613852986673,0.2386340259205925,0.052631578947368425,4.348048493529081,0.02623413258110014,7.602923823259474,0.08952737872163231,0.13031417327914327,0.1368565112117065,K-HCO3
BAF195,BAF195_13,0.04990268975497779,0.17280394980456698,0.05176163549369291,4.987467389636299,0.02397743300423131,7.865150124557493,2.082032063293775e-05,0.3414295851880524,0.17370249499947363,K-HCO3
NYG170,NYG170_14,0.024951344877488894,0.17280394980456698,0.05219660722053067,4.348048493529081,0.009873060648801127,7.69470302871378,0.1061836352279825,0.03515902199858074,0.24739446257500788,K-HCO3
LAL85,LAL85_15,0.019961075901991115,0.3785229376671467,0.05219660722053067,2.1740242467645405,0.03215796897038081,3.8235872558017574,0.029148448886112843,0.20159989678085283,0.05790083166649121,K-HCO3
TUT4,TUT4_16,0.04491242077948001,0.4608105328121786,5.567638103523271,0.10230702337715485,0.08067700987306065,6.970302871378,0.18530085363314597,0.014515192568221405,0.04684703653016107,Na-HCO3
NYC5,NYC5_17,0.019961075901991115,0.5019543303846945,4.5672031317964334,0.1150954012992992,0.1709449929478138,5.400222892356104,0.1332500520508016,0.012902393393974582,0.029476787030213707,Na-HCO3
SUJ7,SUJ7_18,0.1447178002894356,0.436124254268669,3.801652892561984,0.06905724077957953,0.19492242595204512,4.9413268650845685,0.0083281282531751,0.012902393393974582,0.04737340772712917,Na-HCO3
ISJ2,ISJ2_19,0.09481511053445779,0.22217650689158613,7.612005219660722,0.08184561870172388,1.4301833568406206,6.398321751671693,0.5559025608994378,0.014515192568221405,0.06053268765133171,Na-HCO3
DAN4,DAN4_20,0.009980537950995558,0.03291503805801276,3.0535015224010444,0.0358074581820042,0.31875881523272215,2.684541759538482,0.19362898188632105,0.016127991742468227,0.042109695757448155,Na-HCO3
KPK6,KPK6_21,4.990268975497779e-05,0.01645751902900638,0.4262722923010005,0.015346053506573226,0.05585331452750352,0.6440933525632621,0.08328128253175099,0.0709631636668602,0.007369196757553427,Na-HCO3
BIB9,BIB9_22,4.990268975497779e-05,8.22875951450319e-05,0.3349282296650718,0.04859583610414855,0.06318758815232722,0.3228661334731874,0.1311680199875078,0.0709631636668602,0.0036845983787767134,Na-HCO3
KAP2,KAP2_23,0.7734916912021558,0.5677844065007202,2.092214006089604,0.05115351168857742,1.0521861777150916,2.0371705782089946,0.14366021236727047,0.709631636668602,0.012685545846931255,Na-HCO3-Cl
GBG2,GBG2_24,0.029941613852986673,0.0740588356305287,5.1283166594171385,0.05115351168857742,0.2722143864598025,4.828241772649798,0.08536331459504476,1.6127991742468228e-05,0.006579639962101274,Na-HCO3
NAN6,NAN6_25,0.2894356005788712,1.0203661797983956,3.8712483688560244,0.06649956519515066,0.699576868829337,7.00144224465714,0.06246096189881324,0.0603025611250887,0.07000736919675755,Na-HCO3
GAG7,GAG7_26,1.5220320375268226,3.8510594527874926,2.435841670291431,0.06905724077957953,2.403385049365303,4.895437262357414,0.17905475744326463,0.1683762337913683,0.07000736919675755,Mg-Na-HCO3-Cl
TUT9,TUT9_27,0.059883227705973346,0.2633203044641021,6.463679860809048,0.04859583610414855,0.5585331452750353,5.962370525763735,0.0166562565063502,0.20805109347784012,0.054216233287714494,Na-HCO3
NYG8,NYG8_28,0.06487349668147113,0.024686278543509566,6.376685515441497,0.04603816051971968,0.45133991537376583,6.127900878458109,0.010410160316468874,0.08709115540932844,0.021054847878724078,Na-HCO3
NYG9,NYG9_29,1.9362243624931381,1.0203661797983956,0.19138755980861247,0.3555169062356131,0.14386459802538784,3.2958568244394915,0.018738288569643973,0.08709115540932844,0.015791135909043057,Ca-Mg-HCO3
ZOZ1,ZOZ1_30,0.20959129697090673,0.4608105328121786,4.963027403218791,0.028134431428717584,0.2397743300423131,5.352694375245838,0.002082032063293775,0.16773111412166958,0.07158648278766186,Na-HCO3
NYY1,NYY1_31,0.9132192225160936,0.09874511417403826,27.081339712918663,0.079287943117295,25.359661495063467,3.7301691359643376,0.1644805330002082,0.8870395458357525,0.20054742604484682,Na-Cl
KUK9,KUK9_32,0.16966914516692447,0.4525817732976754,4.27142235754676,0.09974934779272597,0.5867418899858956,4.728267995279927,2.082032063293775e-05,0.16773111412166958,0.055795346878618805,Na-HCO3
NYN97,NYN97_33,0.01846399520934178,0.1514091750668587,5.885167464114834,0.02480945316896005,1.1847672778561353,5.0232725842402,0.17697272537997086,1.6127991742468228e-05,0.05263711969681019,Na-HCO3
SUG03,SUG03_34,0.0024951344877488894,0.00822875951450319,7.124836885602437,0.026344058519617373,3.328631875881523,3.4056640881080376,0.007911721840516344,0.08709115540932844,0.0821139067270239,Na-HCO3-Cl
